case_id,task,smiles,variant,metric,interpretation_scope,y_true,pred,error_or_correct,delta_error_vs_full,case_type
case06,pgp_broccatelli,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,no_task_adaptive_selection,AUROC,classification probability/correctness visualization,0.0,0.0662529676,True,-0.3423371324,boundary
case07,hia_hou,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,full_v36_final,AUROC,classification probability/correctness visualization,1.0,0.3227586206896552,False,0.0,failure
case07,hia_hou,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,no_chemistry_sidecar,AUROC,classification probability/correctness visualization,1.0,0.0,False,0.3227586206896552,failure
case07,hia_hou,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,no_ept_or_no_3d,AUROC,classification probability/correctness visualization,1.0,0.988560226,True,-0.6658016053103448,failure
case07,hia_hou,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,no_prediction_level_ensemble,AUROC,classification probability/correctness visualization,1.0,0.988560226,True,-0.6658016053103448,failure
case07,hia_hou,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,no_seedbag_single_seed,AUROC,classification probability/correctness visualization,1.0,0.9859351,True,-0.6631764793103447,failure
case07,hia_hou,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,no_task_adaptive_selection,AUROC,classification probability/correctness visualization,1.0,0.89777626,True,-0.5750176393103448,failure
case08,cyp3a4_substrate_carbonmangels,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,full_v36_final,AUROC,classification probability/correctness visualization,0.0,0.7905437719999999,False,0.0,failure
case08,cyp3a4_substrate_carbonmangels,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,no_chemistry_sidecar,AUROC,classification probability/correctness visualization,0.0,1.0,False,0.209456228,failure
case08,cyp3a4_substrate_carbonmangels,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,no_ept_or_no_3d,AUROC,classification probability/correctness visualization,0.0,0.28971249,True,-0.5008312819999999,failure
case08,cyp3a4_substrate_carbonmangels,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,no_prediction_level_ensemble,AUROC,classification probability/correctness visualization,0.0,0.28971249,True,-0.5008312819999999,failure
case08,cyp3a4_substrate_carbonmangels,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,no_seedbag_single_seed,AUROC,classification probability/correctness visualization,0.0,0.26090655,True,-0.5296372219999999,failure
case08,cyp3a4_substrate_carbonmangels,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,no_task_adaptive_selection,AUROC,classification probability/correctness visualization,0.0,0.569979306,False,-0.2205644659999999,failure
case09,caco2_wang,CC(=O)OC(C)OC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCOCC4)cc3)C(=O)C2)CC1,full_v36_final,MAE,regression absolute-error visualization,-4.5100002,-4.461498069763183,0.04850213023681693,0.0,module-sensitive
case09,caco2_wang,CC(=O)OC(C)OC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCOCC4)cc3)C(=O)C2)CC1,no_chemistry_sidecar,MAE,regression absolute-error visualization,-4.5100002,-5.4309373,0.9209370999999997,0.8724349697631828,module-sensitive
case09,caco2_wang,CC(=O)OC(C)OC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCOCC4)cc3)C(=O)C2)CC1,no_ept_or_no_3d,MAE,regression absolute-error visualization,-4.5100002,-4.42638392,0.08361628000000021,0.0351141497631832,module-sensitive
case09,caco2_wang,CC(=O)OC(C)OC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCOCC4)cc3)C(=O)C2)CC1,no_prediction_level_ensemble,MAE,regression absolute-error visualization,-4.5100002,-4.378847040000001,0.13115315999999932,0.0826510297631824,module-sensitive
case09,caco2_wang,CC(=O)OC(C)OC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCOCC4)cc3)C(=O)C2)CC1,no_seedbag_single_seed,MAE,regression absolute-error visualization,-4.5100002,-4.3380475,0.1719527000000003,0.1234505697631833,module-sensitive
case09,caco2_wang,CC(=O)OC(C)OC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCOCC4)cc3)C(=O)C2)CC1,no_task_adaptive_selection,MAE,regression absolute-error visualization,-4.5100002,-4.378847040000001,0.13115315999999932,0.0826510297631824,module-sensitive
case10,clearance_microsome_az,Cc1cc(C)nc(SCC(N)=O)n1,full_v36_final,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,69.20755471569653,66.20755471569653,0.0,failure
case10,clearance_microsome_az,Cc1cc(C)nc(SCC(N)=O)n1,no_chemistry_sidecar,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,164.7,161.7,95.49244528430346,failure
case10,clearance_microsome_az,Cc1cc(C)nc(SCC(N)=O)n1,no_ept_or_no_3d,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,164.7,161.7,95.49244528430346,failure
case10,clearance_microsome_az,Cc1cc(C)nc(SCC(N)=O)n1,no_prediction_level_ensemble,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,164.7,161.7,95.49244528430346,failure
case10,clearance_microsome_az,Cc1cc(C)nc(SCC(N)=O)n1,no_seedbag_single_seed,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,164.7,161.7,95.49244528430346,failure
case10,clearance_microsome_az,Cc1cc(C)nc(SCC(N)=O)n1,no_task_adaptive_selection,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,44.6784448,41.6784448,-24.52910991569653,failure
