task,metric,full_v36_final,no_task_adaptive_selection,no_chemistry_sidecar,no_ept_or_no_3d,no_prediction_level_ensemble,no_seedbag_single_seed
cyp3a4_substrate_carbonmangels,AUROC,CYP substrate family-transfer pooled XGB; fingerprint-only; task one-hot,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,ChemBERTa+KPGT+EPT embeddings + target-standardized Ridge/linear head,Morgan fingerprint + fixed XGBoost head,Morgan fingerprint + fixed XGBoost head,Morgan fingerprint + fixed XGBoost head
cyp3a4_veith,AUPRC,logit(0.2*XL_K+E + 0.3*K+E CE seedbag + 0.3*K+E AP + 0.2*tabular FP),Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,KPGT+EPT embeddings + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head
dili,AUROC,raw(0.6*XL_K+E + 0.2*K+E CE seedbag + 0.2*K+E descriptor sidecar),Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,KPGT embedding + target-standardized Ridge/linear head,Morgan fingerprint + fixed XGBoost head,Morgan fingerprint + fixed XGBoost head,Morgan fingerprint + fixed XGBoost head
half_life_obach,Spearman,zscore(0.5*C+K metric_auto + 0.1*C+K Spearman seedbag + 0.4*C+K descriptor sidecar),Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,EPT/3D embedding + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head
herg,AUROC,"Canonical backup uses xl fixed chemical endpoint: xl_v4_ept/embed_chem_xl_morgan_family/extratrees/topk=all; formal seeds=101,202,303,404,505.",Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,KPGT+EPT embeddings + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head
hia_hou,AUROC,rank(0.1*selected_gated_5seed + 0.5*official_sidecar_bagged + 0.4*chem_logreg_trainonly); valid-only saturated-valid tie-break; true seed-varying 5-run final scores,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,KPGT+EPT embeddings + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head
ld50_zhu,MAE,"Canonical backup uses xl fixed chemical endpoint: xl_v4_chemberta_kpgt/chem_xl_full_chemical_prior/xgb/topk=4096; formal seeds=101,202,303,404,505.",Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,EPT/3D embedding + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head
lipophilicity_astrazeneca,MAE,raw(0.2*XL_K + 0.1*tabular FP + 0.3*K metric_auto + 0.4*K SmoothL1 seedbag),Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,KPGT+EPT embeddings + target-standardized Ridge/linear head,KPGT embedding + target-standardized Ridge/linear head,KPGT+EPT embeddings + target-standardized Ridge/linear head,KPGT+EPT embeddings + target-standardized Ridge/linear head
pgp_broccatelli,AUROC,logit(0.65*layerwise_selected_gated + 0.25*aux_K+E + 0.10*aux_K),Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,EPT/3D embedding + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head
ppbr_az,MAE,0.7*KPGT_seedbag + 0.3*fp_only,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,EPT/3D embedding + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head
solubility_aqsoldb,MAE,0.3*FP-XGB + 0.3*metric_auto(K+E) + 0.4*XL_v4,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,EPT/3D embedding + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head
vdss_lombardo,Spearman,rank(0.9*KPGT+EPT Spearman seedbag + 0.1*KPGT+EPT descriptor sidecar),Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,EPT/3D embedding + target-standardized Ridge/linear head,Morgan fingerprint + fixed XGBoost head,Morgan fingerprint + fixed XGBoost head,Morgan fingerprint + fixed XGBoost head
