task,metric,method,seed,candidate_count,selected_candidates,test_score,prediction_file
ames,AUROC,uniform_candidate_average,202,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8334410307623019,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/uniform_candidate_average_seed_202.csv
ames,AUROC,validation_stacking,202,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8421527736983297,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_stacking_seed_202.csv
ames,AUROC,global_single,303,9,chem_fp_chemberta_kpgt_ept_xgb,0.8468072607648476,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/global_single_seed_303.csv
ames,AUROC,per_task_single,303,9,chem_fp_chemberta_kpgt_xgb,0.8534766688206152,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/per_task_single_seed_303.csv
ames,AUROC,validation_top2_average,303,9,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb,0.8499579000959485,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_top2_average_seed_303.csv
ames,AUROC,validation_top3_average,303,9,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;chem_fp_chemberta_kpgt_ept_xgb,0.8583328437995652,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_top3_average_seed_303.csv
ames,AUROC,uniform_candidate_average,303,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8366308327948462,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/uniform_candidate_average_seed_303.csv
ames,AUROC,validation_stacking,303,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8376353560868628,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_stacking_seed_303.csv
ames,AUROC,global_single,404,9,chem_fp_chemberta_kpgt_ept_xgb,0.8437134073508392,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/global_single_seed_404.csv
ames,AUROC,per_task_single,404,9,chem_fp_chemberta_kpgt_xgb,0.8540778162877676,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/per_task_single_seed_404.csv
ames,AUROC,validation_top2_average,404,9,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb,0.8505492568877402,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_top2_average_seed_404.csv
ames,AUROC,validation_top3_average,404,9,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;chem_fp_chemberta_kpgt_ept_xgb,0.8580273747283087,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_top3_average_seed_404.csv
ames,AUROC,uniform_candidate_average,404,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8331982220133545,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/uniform_candidate_average_seed_404.csv
ames,AUROC,validation_stacking,404,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8451134739274314,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_stacking_seed_404.csv
ames,AUROC,global_single,505,9,chem_fp_chemberta_kpgt_ept_xgb,0.8456500029372025,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/global_single_seed_505.csv
ames,AUROC,per_task_single,505,9,chem_fp_chemberta_kpgt_xgb,0.8552448647907732,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/per_task_single_seed_505.csv
ames,AUROC,validation_top2_average,505,9,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb,0.8502477040866279,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_top2_average_seed_505.csv
ames,AUROC,validation_top3_average,505,9,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;chem_fp_chemberta_kpgt_ept_xgb,0.8587479684348627,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_top3_average_seed_505.csv
ames,AUROC,uniform_candidate_average,505,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.837474789010946,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/uniform_candidate_average_seed_505.csv
ames,AUROC,validation_stacking,505,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8424974054710292,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_stacking_seed_505.csv
bbb_martins,AUROC,global_single,101,9,chem_fp_chemberta_kpgt_ept_xgb,0.9024390243902439,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/global_single_seed_101.csv
bbb_martins,AUROC,per_task_single,101,9,chem_fp_chemberta_kpgt_ept_xgb,0.9024390243902439,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/per_task_single_seed_101.csv
bbb_martins,AUROC,validation_top2_average,101,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb,0.9177220137585991,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_top2_average_seed_101.csv
bbb_martins,AUROC,validation_top3_average,101,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb,0.9063086303939965,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_top3_average_seed_101.csv
bbb_martins,AUROC,uniform_candidate_average,101,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8950515947467167,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/uniform_candidate_average_seed_101.csv
bbb_martins,AUROC,validation_stacking,101,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8718730456535334,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_stacking_seed_101.csv
bbb_martins,AUROC,global_single,202,9,chem_fp_chemberta_kpgt_ept_xgb,0.9051751094434022,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/global_single_seed_202.csv
bbb_martins,AUROC,per_task_single,202,9,chem_fp_chemberta_kpgt_ept_xgb,0.9051751094434022,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/per_task_single_seed_202.csv
bbb_martins,AUROC,validation_top2_average,202,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb,0.9194418386491557,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_top2_average_seed_202.csv
bbb_martins,AUROC,validation_top3_average,202,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb,0.909631019387117,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_top3_average_seed_202.csv
bbb_martins,AUROC,uniform_candidate_average,202,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8899702939337086,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/uniform_candidate_average_seed_202.csv
bbb_martins,AUROC,validation_stacking,202,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8356003752345216,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_stacking_seed_202.csv
bbb_martins,AUROC,global_single,303,9,chem_fp_chemberta_kpgt_ept_xgb,0.9075203252032521,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/global_single_seed_303.csv
bbb_martins,AUROC,per_task_single,303,9,chem_fp_chemberta_kpgt_ept_xgb,0.9075203252032521,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/per_task_single_seed_303.csv
bbb_martins,AUROC,validation_top2_average,303,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb,0.9235850531582238,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_top2_average_seed_303.csv
bbb_martins,AUROC,validation_top3_average,303,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb,0.9109208880550344,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_top3_average_seed_303.csv
bbb_martins,AUROC,uniform_candidate_average,303,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.906816760475297,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/uniform_candidate_average_seed_303.csv
bbb_martins,AUROC,validation_stacking,303,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.816447779862414,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_stacking_seed_303.csv
bbb_martins,AUROC,global_single,404,9,chem_fp_chemberta_kpgt_ept_xgb,0.9058786741713571,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/global_single_seed_404.csv
bbb_martins,AUROC,per_task_single,404,9,chem_fp_chemberta_kpgt_ept_xgb,0.9058786741713571,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/per_task_single_seed_404.csv
bbb_martins,AUROC,validation_top2_average,404,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb,0.9219043151969981,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_top2_average_seed_404.csv
bbb_martins,AUROC,validation_top3_average,404,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb,0.9106081926203877,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_top3_average_seed_404.csv
bbb_martins,AUROC,uniform_candidate_average,404,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.9056050656660413,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/uniform_candidate_average_seed_404.csv
bbb_martins,AUROC,validation_stacking,404,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8262585991244528,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_stacking_seed_404.csv
bbb_martins,AUROC,global_single,505,9,chem_fp_chemberta_kpgt_ept_xgb,0.9030253283302063,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/global_single_seed_505.csv
bbb_martins,AUROC,per_task_single,505,9,chem_fp_chemberta_kpgt_ept_xgb,0.9030253283302063,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/per_task_single_seed_505.csv
bbb_martins,AUROC,validation_top2_average,505,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb,0.9153767979987492,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_top2_average_seed_505.csv
bbb_martins,AUROC,validation_top3_average,505,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb,0.9044324577861164,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_top3_average_seed_505.csv
bbb_martins,AUROC,uniform_candidate_average,505,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8984912445278298,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/uniform_candidate_average_seed_505.csv
bbb_martins,AUROC,validation_stacking,505,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8504924953095685,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bbb_martins/validation_stacking_seed_505.csv
bioavailability_ma,AUROC,global_single,101,9,chem_fp_chemberta_kpgt_ept_xgb,0.6484868639840372,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/global_single_seed_101.csv
bioavailability_ma,AUROC,per_task_single,101,9,chem_fp_chemberta_kpgt_xgb,0.6458264050548721,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/per_task_single_seed_101.csv
bioavailability_ma,AUROC,validation_top2_average,101,9,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb,0.6471566345194546,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/validation_top2_average_seed_101.csv
bioavailability_ma,AUROC,validation_top3_average,101,9,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb;chem_fp_xgb,0.6664449617559028,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/validation_top3_average_seed_101.csv
bioavailability_ma,AUROC,uniform_candidate_average,101,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.695710009976721,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/uniform_candidate_average_seed_101.csv
bioavailability_ma,AUROC,validation_stacking,101,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.6740937811772529,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/validation_stacking_seed_101.csv
bioavailability_ma,AUROC,global_single,202,9,chem_fp_chemberta_kpgt_ept_xgb,0.6494845360824743,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/global_single_seed_202.csv
bioavailability_ma,AUROC,per_task_single,202,9,chem_fp_chemberta_kpgt_xgb,0.6571333555038243,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/per_task_single_seed_202.csv
bioavailability_ma,AUROC,validation_top2_average,202,9,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb,0.6528101097439308,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/validation_top2_average_seed_202.csv
bioavailability_ma,AUROC,validation_top3_average,202,9,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb;chem_fp_xgb,0.6631193880944464,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/validation_top3_average_seed_202.csv
bioavailability_ma,AUROC,uniform_candidate_average,202,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.6431659461257067,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/bioavailability_ma/uniform_candidate_average_seed_202.csv
