task,metric,submitted_score_mean,submitted_score_sd,revision_score_mean,revision_score_sd,n_runs_reported,selected_candidate,split_status,sample_level_final_prediction,prediction_rows,official_test_rows,prediction_score_reconciliation,evidence_source,selected_final_model_artifact,paired_ci_or_test,uniform_average_control,standard_oof_stacking_control,same_budget_automl_control,revision_priority
cyp3a4_substrate_carbonmangels,AUROC,0.725249,0.00476,0.655628390596745,0.007590024136700178,5,cyp_substrate_pooled_family_xgb_v1,confirmed_official_split,leakage_safe_rerun_independently_verified,135,135,five_seed_metrics_and_official_alignment_verified,leakage_safe_rerun_validation,not_yet_verified,missing,missing,missing,missing,P1_replace_submitted_score_and_add_controls
cyp3a4_veith,AUPRC,0.884121,0.003206,0.8841211146054249,0.003206324071075164,5,v29_rank_uplift_formula_seedwise,confirmed_official_reproduction_with_caveat,reconstructed_verified_v29_formula,2467,2467,all_five_materialized_seed_metrics_independently_verified,v29_formula_predictions_v3_validation,not_yet_verified,missing,missing,missing,missing,P2_add_paired_statistics_and_controls
dili,AUROC,0.908609,0.00552,0.9086086956521738,0.005520198347166549,5,v29_rank_uplift_formula_seedwise,confirmed_official_reproduction_with_caveat,reconstructed_verified_v29_formula,96,96,all_five_materialized_seed_metrics_independently_verified,v29_formula_predictions_v3_validation,not_yet_verified,missing,missing,missing,missing,P2_add_paired_statistics_and_controls
half_life_obach,Spearman,0.49139,0.009785,0.4913899884769625,0.009785242517661046,5,v29_rank_uplift_formula_seedwise,confirmed_official_reproduction_with_caveat,reconstructed_verified_v29_formula,135,135,all_five_materialized_seed_metrics_independently_verified,v29_formula_predictions_v3_validation,not_yet_verified,missing,missing,missing,missing,P2_add_paired_statistics_and_controls
herg,AUROC,0.863358,0.002334,0.863358,0.002334,5,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,confirmed_official_split,recovered_verified_archive,132,132,all_five_seed_metrics_exactly_match_reported_summary,fixed_endpoint_archive_recovery,not_yet_verified,missing,missing,missing,missing,P2_add_paired_statistics_and_controls
hia_hou,AUROC,0.99428,0.001736,0.99428,0.001736,5,hia_hou_true5run_seedvarying_endpoint_audit_v1,confirmed_official_split,available,117,117,materialized_seed_mean_matches_5run_metric_mean_close,submitted_prediction_inventory,not_yet_verified,missing,missing,missing,missing,P1_reconcile_prediction_score_vs_reported_mean
ld50_zhu,MAE,0.603071,0.003837,0.603071,0.003837,5,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,confirmed_official_split,recovered_verified_archive,1478,1478,all_five_seed_metrics_exactly_match_reported_summary,fixed_endpoint_archive_recovery,not_yet_verified,missing,missing,missing,missing,P2_add_paired_statistics_and_controls
lipophilicity_astrazeneca,MAE,0.472895,0.006499,0.47289455443454387,0.006499286394686647,5,v29_rank_uplift_formula_seedwise,confirmed_official_reproduction_with_caveat,reconstructed_verified_v29_formula,840,840,all_five_materialized_seed_metrics_independently_verified,v29_formula_predictions_v3_validation,not_yet_verified,missing,missing,missing,missing,P2_add_paired_statistics_and_controls
pgp_broccatelli,AUROC,0.938363,0.003565,0.938363,0.003565,5,pgp_frozen_blend_audit_v1,confirmed_official_split,available,245,245,materialized_seed_mean_metric_diff_expected,submitted_prediction_inventory,not_yet_verified,missing,missing,missing,missing,P1_reconcile_prediction_score_vs_reported_mean
ppbr_az,MAE,7.330617,0.098555,7.330617,0.098555,5,ppbr_kpgt_fp_seedbag_endpoint_v1,confirmed_official_split,available,559,559,materialized_seed_mean_metric_diff_expected,submitted_prediction_inventory,not_yet_verified,missing,missing,missing,missing,P1_reconcile_prediction_score_vs_reported_mean
solubility_aqsoldb,MAE,0.738443,0.000456,0.738443,0.000456,5,solubility_clean_selector_v2_valid_selected_fp_xgb_metric_xl,confirmed_official_split,available,1997,1997,materialized_seed_mean_metric_diff_expected,submitted_prediction_inventory,not_yet_verified,missing,missing,missing,missing,P1_reconcile_prediction_score_vs_reported_mean
vdss_lombardo,Spearman,0.660995,0.004668,0.660995,0.004668,5,v29_rank_uplift_formula_seedwise,confirmed_official_reproduction_with_caveat,available,226,226,materialized_seed_mean_metric_diff_expected,submitted_prediction_inventory,not_yet_verified,missing,missing,missing,missing,P1_reconcile_prediction_score_vs_reported_mean
